Sample,Average_Probability,Number_of_Batches
TRUST_aa97a4a2-0044-4598-91a8-c8794ed28d11_airr_extracted_trb_frequencies_filtered.tsv,0.6134,1
TRUST_aac87771-4290-4664-96a6-4b0758cb35dc_airr_extracted_trb_frequencies_filtered.tsv,0.569,1
TRUST_ab3af857-629b-4614-bb92-dcffb18a4d05_airr_extracted_trb_frequencies_filtered.tsv,0.5315,2
TRUST_ad4471ef-5078-4602-a4b3-3cda3f41b1d6_airr_extracted_trb_frequencies_filtered.tsv,0.6314,1
TRUST_aee34e47-1eb2-4f58-82e8-201f38efec1f_airr_extracted_trb_frequencies_filtered.tsv,0.6162,1
TRUST_b4dc3a60-f433-4c93-acc6-a480187fc387_airr_extracted_trb_frequencies_filtered.tsv,0.5125,1
TRUST_b50c95cc-4acf-4a72-a49a-32b9e408c19e_airr_extracted_trb_frequencies_filtered.tsv,0.5295,1
TRUST_b5597e1d-07b8-4de4-a1dc-640cde870e9e_airr_extracted_trb_frequencies_filtered.tsv,0.561,1
TRUST_b628edcd-d833-4d24-9c4d-fb4f80f041eb_airr_extracted_trb_frequencies_filtered.tsv,0.5896,1
TRUST_b6985e24-bcf0-4da4-9887-6f5092c3537d_airr_extracted_trb_frequencies_filtered.tsv,0.6897,1
TRUST_b6abc578-59e6-4550-b8e6-0212f18f1a59_airr_extracted_trb_frequencies_filtered.tsv,0.3358,1
TRUST_b934fcee-9e53-47a4-926d-952198937aa0_airr_extracted_trb_frequencies_filtered.tsv,0.5975,1
TRUST_b9f688a9-8527-421e-9718-01e7fc611cf8_airr_extracted_trb_frequencies_filtered.tsv,0.5752,1
TRUST_bf3bf105-7689-46a5-be27-8e887e4b4eaf_airr_extracted_trb_frequencies_filtered.tsv,0.6948,1
TRUST_c1a91a6e-6dff-4546-a469-cc56ed09bab2_airr_extracted_trb_frequencies_filtered.tsv,0.6433,1
TRUST_c1d53d79-ec0b-4c77-be68-8b34eaa014f0_airr_extracted_trb_frequencies_filtered.tsv,0.6783,1
TRUST_c346d256-c87d-49f9-9172-cb4e58a29c3c_airr_extracted_trb_frequencies_filtered.tsv,0.5309,1
TRUST_c6819789-0ddf-4920-a326-2836708ce729_airr_extracted_trb_frequencies_filtered.tsv,0.5202,1
TRUST_c73e4096-f96e-42c0-8b0e-6ccba77c3574_airr_extracted_trb_frequencies_filtered.tsv,0.5139,1
TRUST_c898eaac-6844-4061-8165-8084adf665e5_airr_extracted_trb_frequencies_filtered.tsv,0.4676,2
TRUST_ca8d7caa-0fd5-4553-a38a-45faf1e138cb_airr_extracted_trb_frequencies_filtered.tsv,0.442,2
TRUST_cb087a32-5b01-480e-8e6a-1a77a871133f_airr_extracted_trb_frequencies_filtered.tsv,0.5267,1
TRUST_cb5f41e0-b340-41f0-b15b-77a7724a2223_airr_extracted_trb_frequencies_filtered.tsv,0.5336,1
TRUST_cbb1fbc8-cc83-4442-be1c-4890fa570c1e_airr_extracted_trb_frequencies_filtered.tsv,0.5624,1
TRUST_cc79d1ad-4ef8-4d3a-abfa-06b38ef3f8ab_airr_extracted_trb_frequencies_filtered.tsv,0.4537,1
TRUST_cd3b9637-ee7d-45a4-b8a1-4eb10a230344_airr_extracted_trb_frequencies_filtered.tsv,0.5484,1
TRUST_cf3ce199-3539-4bd3-9463-e51b5385c3a5_airr_extracted_trb_frequencies_filtered.tsv,0.4586,1
TRUST_cf3da1d9-dbbe-49f1-b309-8befa341b49c_airr_extracted_trb_frequencies_filtered.tsv,0.6185,1
TRUST_d0d40a66-9488-4994-a7c6-cc0bac20b066_airr_extracted_trb_frequencies_filtered.tsv,0.3974,1
TRUST_d112b2e2-54dd-4ce0-be4c-2b5740ec4e40_airr_extracted_trb_frequencies_filtered.tsv,0.6371,1
TRUST_d2428a32-6b39-45d4-88bc-fc6b35a633c2_airr_extracted_trb_frequencies_filtered.tsv,0.5784,1
TRUST_d55d166c-dc41-4480-b476-0ef88acc3d32_airr_extracted_trb_frequencies_filtered.tsv,0.4419,1
TRUST_d64bdff8-a919-438d-bea4-8ecb01a3fc8b_airr_extracted_trb_frequencies_filtered.tsv,0.5708,1
TRUST_d7a25385-5a4d-46b6-93f6-909f1efe3ce8_airr_extracted_trb_frequencies_filtered.tsv,0.622,1
TRUST_d8dc8330-a778-4e32-9914-9414705378e0_airr_extracted_trb_frequencies_filtered.tsv,0.567,1
TRUST_dcff17dc-7c80-41b7-885d-3207264a0c86_airr_extracted_trb_frequencies_filtered.tsv,0.4872,1
TRUST_dd47e7e2-2298-4720-becd-805258ce14dd_airr_extracted_trb_frequencies_filtered.tsv,0.595,1
TRUST_dfc0e743-2a0e-46c6-986a-f3991b8ed717_airr_extracted_trb_frequencies_filtered.tsv,0.5182,1
TRUST_e18195a1-f04d-4270-ac12-6b4e3accf8a1_airr_extracted_trb_frequencies_filtered.tsv,0.5206,3
TRUST_e2704437-4858-41c0-b9aa-889c6ebf1c21_airr_extracted_trb_frequencies_filtered.tsv,0.6237,1
TRUST_e28fa0f9-db56-4c16-a6d6-15f8751e11cd_airr_extracted_trb_frequencies_filtered.tsv,0.6034,2
TRUST_e31cc60d-6b26-4686-a27c-3cbb8a5bd1f6_airr_extracted_trb_frequencies_filtered.tsv,0.704,1
